Branch_B,Candidate_C,PlusCount_B_not_in_C
feat/TC-570-extended-gates,integrate/main-e2e-20260128-0837,0
feat/TC-570-extended-gates,fix/main-green-20260128-1505,0
feat/TC-570-extended-gates,fix/env-gates-20260128-1615,0
feat/TC-570-extended-gates,feat/TC-600-failure-recovery,0
feat/TC-570-extended-gates,feat/golden-2pilots-20260201,52
feat/TC-571-perf-security-gates,impl/tc300-wire-orchestrator-20260128,27
feat/TC-571-perf-security-gates,integrate/main-e2e-20260128-0837,0
feat/TC-571-perf-security-gates,fix/main-green-20260128-1505,0
feat/TC-571-perf-security-gates,fix/env-gates-20260128-1615,0
feat/TC-571-perf-security-gates,feat/TC-600-failure-recovery,0
feat/TC-571-perf-security-gates,feat/golden-2pilots-20260201,53
feat/TC-580-observability,impl/tc300-wire-orchestrator-20260128,32
feat/TC-580-observability,integrate/main-e2e-20260128-0837,0
feat/TC-580-observability,fix/main-green-20260128-1505,0
feat/TC-580-observability,fix/env-gates-20260128-1615,0
feat/TC-580-observability,feat/TC-600-failure-recovery,0
feat/TC-580-observability,feat/golden-2pilots-20260201,77
feat/TC-590-security-handling,impl/tc300-wire-orchestrator-20260128,33
feat/TC-590-security-handling,integrate/main-e2e-20260128-0837,0
feat/TC-590-security-handling,fix/main-green-20260128-1505,0
feat/TC-590-security-handling,fix/env-gates-20260128-1615,0
feat/TC-590-security-handling,feat/TC-600-failure-recovery,0
feat/TC-590-security-handling,feat/golden-2pilots-20260201,80
feat/TC-600-failure-recovery,impl/tc300-wire-orchestrator-20260128,36
feat/TC-600-failure-recovery,integrate/main-e2e-20260128-0837,0
feat/TC-600-failure-recovery,fix/main-green-20260128-1505,0
feat/TC-600-failure-recovery,fix/env-gates-20260128-1615,0
feat/TC-600-failure-recovery,feat/TC-600-failure-recovery,0
feat/TC-600-failure-recovery,feat/golden-2pilots-20260201,85
feat/golden-2pilots-20260130,impl/tc300-wire-orchestrator-20260128,14
feat/golden-2pilots-20260130,integrate/main-e2e-20260128-0837,14
feat/golden-2pilots-20260130,fix/main-green-20260128-1505,14
feat/golden-2pilots-20260130,fix/env-gates-20260128-1615,14
feat/golden-2pilots-20260130,feat/TC-600-failure-recovery,14
feat/golden-2pilots-20260130,feat/golden-2pilots-20260201,12
feat/golden-2pilots-20260201,impl/tc300-wire-orchestrator-20260128,12
feat/golden-2pilots-20260201,integrate/main-e2e-20260128-0837,12
feat/golden-2pilots-20260201,fix/main-green-20260128-1505,12
feat/golden-2pilots-20260201,fix/env-gates-20260128-1615,12
feat/golden-2pilots-20260201,feat/TC-600-failure-recovery,12
feat/golden-2pilots-20260201,feat/golden-2pilots-20260201,0
feat/pilot-e2e-golden-3d-20260129,impl/tc300-wire-orchestrator-20260128,3
feat/pilot-e2e-golden-3d-20260129,integrate/main-e2e-20260128-0837,3
feat/pilot-e2e-golden-3d-20260129,fix/main-green-20260128-1505,3
